Standard:
Epoch 0: train_loss=2.1143, val_loss=1.8170, acc1=0.3681, acc2=0.5996
Epoch 1: train_loss=1.9885, val_loss=1.6799, acc1=0.4503, acc2=0.6731
Epoch 2: train_loss=1.9040, val_loss=1.5460, acc1=0.5221, acc2=0.7354
Epoch 3: train_loss=1.8385, val_loss=1.4243, acc1=0.5755, acc2=0.7840
Epoch 4: train_loss=1.8130, val_loss=1.3932, acc1=0.5944, acc2=0.7922
Epoch 5: train_loss=1.7816, val_loss=1.3560, acc1=0.6228, acc2=0.8107
Epoch 6: train_loss=1.7251, val_loss=1.2929, acc1=0.6462, acc2=0.8215
Epoch 7: train_loss=1.6832, val_loss=1.2794, acc1=0.6476, acc2=0.8207
Epoch 8: train_loss=1.6473, val_loss=1.2188, acc1=0.6785, acc2=0.8483
Epoch 9: train_loss=1.6200, val_loss=1.2212, acc1=0.6771, acc2=0.8512
Epoch 10: train_loss=1.6132, val_loss=1.2102, acc1=0.6842, acc2=0.8528
Epoch 11: train_loss=1.5915, val_loss=1.1679, acc1=0.6996, acc2=0.8602
Epoch 12: train_loss=1.5432, val_loss=1.1519, acc1=0.7098, acc2=0.8707
Epoch 13: train_loss=1.5772, val_loss=1.1109, acc1=0.7307, acc2=0.8805
Epoch 14: train_loss=1.5788, val_loss=1.1155, acc1=0.7285, acc2=0.8831
Epoch 15: train_loss=1.5269, val_loss=1.0937, acc1=0.7393, acc2=0.8847
Epoch 16: train_loss=1.5101, val_loss=1.1113, acc1=0.7352, acc2=0.8773
Epoch 17: train_loss=1.5445, val_loss=1.1101, acc1=0.7342, acc2=0.8840
Epoch 18: train_loss=1.4906, val_loss=1.0839, acc1=0.7462, acc2=0.8876
Epoch 19: train_loss=1.4980, val_loss=1.0562, acc1=0.7539, acc2=0.8944
Epoch 20: train_loss=1.5116, val_loss=1.0754, acc1=0.7543, acc2=0.8921
Epoch 21: train_loss=1.4852, val_loss=1.0437, acc1=0.7623, acc2=0.9010
Epoch 22: train_loss=1.5053, val_loss=1.0129, acc1=0.7769, acc2=0.9060
Epoch 23: train_loss=1.4881, val_loss=1.0650, acc1=0.7554, acc2=0.8866
Epoch 24: train_loss=1.4427, val_loss=1.0291, acc1=0.7733, acc2=0.9087
Epoch 25: train_loss=1.4332, val_loss=1.0111, acc1=0.7754, acc2=0.9086
Epoch 26: train_loss=1.4351, val_loss=1.0240, acc1=0.7726, acc2=0.9015
Epoch 27: train_loss=1.4172, val_loss=1.0086, acc1=0.7810, acc2=0.9071
Epoch 28: train_loss=1.4756, val_loss=0.9866, acc1=0.7885, acc2=0.9116
Epoch 29: train_loss=1.4239, val_loss=1.0130, acc1=0.7789, acc2=0.9099
Epoch 30: train_loss=1.4694, val_loss=0.9906, acc1=0.7898, acc2=0.9123
Epoch 31: train_loss=1.4092, val_loss=0.9735, acc1=0.7917, acc2=0.9172
Epoch 32: train_loss=1.4325, val_loss=0.9696, acc1=0.7940, acc2=0.9166
Epoch 33: train_loss=1.4044, val_loss=0.9832, acc1=0.7873, acc2=0.9113
Epoch 34: train_loss=1.4164, val_loss=0.9706, acc1=0.7957, acc2=0.9193
Epoch 35: train_loss=1.4121, val_loss=0.9529, acc1=0.8053, acc2=0.9206
Epoch 36: train_loss=1.4298, val_loss=0.9712, acc1=0.7953, acc2=0.9167
Epoch 37: train_loss=1.3727, val_loss=0.9560, acc1=0.8029, acc2=0.9199
Epoch 38: train_loss=1.4057, val_loss=0.9801, acc1=0.7856, acc2=0.9159
Epoch 39: train_loss=1.3830, val_loss=0.9541, acc1=0.8030, acc2=0.9175
Epoch 40: train_loss=1.3430, val_loss=0.9412, acc1=0.8136, acc2=0.9229
Epoch 41: train_loss=1.3384, val_loss=0.9545, acc1=0.8016, acc2=0.9198
Epoch 42: train_loss=1.3800, val_loss=0.9389, acc1=0.8084, acc2=0.9225
Epoch 43: train_loss=1.3941, val_loss=0.9379, acc1=0.8117, acc2=0.9242
Epoch 44: train_loss=1.3700, val_loss=0.9416, acc1=0.8112, acc2=0.9218
Epoch 45: train_loss=1.3641, val_loss=0.9245, acc1=0.8193, acc2=0.9316
Epoch 46: train_loss=1.3403, val_loss=0.9233, acc1=0.8189, acc2=0.9290
Epoch 47: train_loss=1.3432, val_loss=0.9051, acc1=0.8271, acc2=0.9335
Epoch 48: train_loss=1.3362, val_loss=0.9067, acc1=0.8229, acc2=0.9294
Epoch 49: train_loss=1.3434, val_loss=0.9235, acc1=0.8136, acc2=0.9282
Epoch 50: train_loss=1.3072, val_loss=0.9216, acc1=0.8132, acc2=0.9274
Epoch 51: train_loss=1.3606, val_loss=0.9299, acc1=0.8126, acc2=0.9265
Epoch 52: train_loss=1.3196, val_loss=0.9274, acc1=0.8153, acc2=0.9228
Epoch 53: train_loss=1.3213, val_loss=0.9134, acc1=0.8176, acc2=0.9298
Epoch 54: train_loss=1.3550, val_loss=0.9098, acc1=0.8230, acc2=0.9307
Epoch 55: train_loss=1.3164, val_loss=0.9258, acc1=0.8149, acc2=0.9252
Epoch 56: train_loss=1.3193, val_loss=0.8992, acc1=0.8236, acc2=0.9336
Epoch 57: train_loss=1.3416, val_loss=0.9308, acc1=0.8122, acc2=0.9258
Epoch 58: train_loss=1.3215, val_loss=0.9012, acc1=0.8286, acc2=0.9313
Epoch 59: train_loss=1.3172, val_loss=0.9006, acc1=0.8274, acc2=0.9323
Epoch 60: train_loss=1.3096, val_loss=0.8984, acc1=0.8290, acc2=0.9301
Epoch 61: train_loss=1.2919, val_loss=0.8687, acc1=0.8363, acc2=0.9390
Epoch 62: train_loss=1.3159, val_loss=0.8926, acc1=0.8264, acc2=0.9341
Epoch 63: train_loss=1.3160, val_loss=0.8774, acc1=0.8350, acc2=0.9379
Epoch 64: train_loss=1.3115, val_loss=0.8956, acc1=0.8256, acc2=0.9340
Epoch 65: train_loss=1.3119, val_loss=0.8835, acc1=0.8356, acc2=0.9386
Epoch 66: train_loss=1.3041, val_loss=0.8799, acc1=0.8339, acc2=0.9387
Epoch 67: train_loss=1.3012, val_loss=0.8720, acc1=0.8370, acc2=0.9397
Epoch 68: train_loss=1.2720, val_loss=0.8598, acc1=0.8423, acc2=0.9419
Epoch 69: train_loss=1.3176, val_loss=0.8843, acc1=0.8352, acc2=0.9357
Epoch 70: train_loss=1.2782, val_loss=0.8691, acc1=0.8383, acc2=0.9371
Epoch 71: train_loss=1.3089, val_loss=0.8825, acc1=0.8346, acc2=0.9349
Epoch 72: train_loss=1.2973, val_loss=0.8752, acc1=0.8309, acc2=0.9401
Epoch 73: train_loss=1.2730, val_loss=0.8727, acc1=0.8372, acc2=0.9379
Epoch 74: train_loss=1.2694, val_loss=0.8496, acc1=0.8475, acc2=0.9434
Epoch 75: train_loss=1.2860, val_loss=0.8840, acc1=0.8310, acc2=0.9365
Epoch 76: train_loss=1.2550, val_loss=0.8472, acc1=0.8500, acc2=0.9461
Epoch 77: train_loss=1.2771, val_loss=0.8606, acc1=0.8442, acc2=0.9422
Epoch 78: train_loss=1.2870, val_loss=0.8660, acc1=0.8406, acc2=0.9397
Epoch 79: train_loss=1.2443, val_loss=0.8531, acc1=0.8466, acc2=0.9440
Epoch 80: train_loss=1.3137, val_loss=0.8728, acc1=0.8357, acc2=0.9381
Epoch 81: train_loss=1.2366, val_loss=0.8558, acc1=0.8455, acc2=0.9410
Epoch 82: train_loss=1.3134, val_loss=0.8465, acc1=0.8503, acc2=0.9460
Epoch 83: train_loss=1.2458, val_loss=0.8605, acc1=0.8416, acc2=0.9382
Epoch 84: train_loss=1.2577, val_loss=0.8430, acc1=0.8518, acc2=0.9444
Epoch 85: train_loss=1.2983, val_loss=0.8587, acc1=0.8434, acc2=0.9431
Epoch 86: train_loss=1.2612, val_loss=0.8373, acc1=0.8553, acc2=0.9485
Epoch 87: train_loss=1.2521, val_loss=0.8452, acc1=0.8500, acc2=0.9445
Epoch 88: train_loss=1.2621, val_loss=0.8530, acc1=0.8498, acc2=0.9440
Epoch 89: train_loss=1.2698, val_loss=0.8446, acc1=0.8487, acc2=0.9422
Epoch 90: train_loss=1.2800, val_loss=0.8600, acc1=0.8424, acc2=0.9391
Epoch 91: train_loss=1.2403, val_loss=0.8338, acc1=0.8518, acc2=0.9449
Epoch 92: train_loss=1.2662, val_loss=0.8460, acc1=0.8514, acc2=0.9440
Epoch 93: train_loss=1.2172, val_loss=0.8482, acc1=0.8476, acc2=0.9457
Epoch 94: train_loss=1.2740, val_loss=0.8380, acc1=0.8559, acc2=0.9440
Epoch 95: train_loss=1.2437, val_loss=0.8353, acc1=0.8557, acc2=0.9454
Epoch 96: train_loss=1.2253, val_loss=0.8338, acc1=0.8543, acc2=0.9457
Epoch 97: train_loss=1.2383, val_loss=0.8299, acc1=0.8573, acc2=0.9466
Epoch 98: train_loss=1.2318, val_loss=0.8307, acc1=0.8569, acc2=0.9450
Epoch 99: train_loss=1.2097, val_loss=0.8344, acc1=0.8565, acc2=0.9498
Epoch 100: train_loss=1.2437, val_loss=0.8317, acc1=0.8562, acc2=0.9459
Epoch 101: train_loss=1.2281, val_loss=0.8289, acc1=0.8548, acc2=0.9463
Epoch 102: train_loss=1.2459, val_loss=0.8299, acc1=0.8569, acc2=0.9486
Epoch 103: train_loss=1.2128, val_loss=0.8112, acc1=0.8635, acc2=0.9502
Epoch 104: train_loss=1.1845, val_loss=0.8204, acc1=0.8616, acc2=0.9476
Epoch 105: train_loss=1.1837, val_loss=0.8257, acc1=0.8547, acc2=0.9467
Epoch 106: train_loss=1.2219, val_loss=0.8339, acc1=0.8517, acc2=0.9471
Epoch 107: train_loss=1.2080, val_loss=0.8355, acc1=0.8531, acc2=0.9446
Epoch 108: train_loss=1.2210, val_loss=0.8229, acc1=0.8597, acc2=0.9491
Epoch 109: train_loss=1.1571, val_loss=0.8144, acc1=0.8659, acc2=0.9495
Epoch 110: train_loss=1.2379, val_loss=0.8188, acc1=0.8641, acc2=0.9472
Epoch 111: train_loss=1.2095, val_loss=0.8311, acc1=0.8581, acc2=0.9459
Epoch 112: train_loss=1.2195, val_loss=0.8152, acc1=0.8629, acc2=0.9530
Epoch 113: train_loss=1.1976, val_loss=0.8052, acc1=0.8666, acc2=0.9488
Epoch 114: train_loss=1.2463, val_loss=0.8207, acc1=0.8600, acc2=0.9461
Epoch 115: train_loss=1.2199, val_loss=0.8076, acc1=0.8643, acc2=0.9510
Epoch 116: train_loss=1.2096, val_loss=0.8022, acc1=0.8684, acc2=0.9531
Epoch 117: train_loss=1.1880, val_loss=0.8128, acc1=0.8637, acc2=0.9508
Epoch 118: train_loss=1.2348, val_loss=0.8352, acc1=0.8560, acc2=0.9462
Epoch 119: train_loss=1.2186, val_loss=0.8209, acc1=0.8614, acc2=0.9475
Epoch 120: train_loss=1.2115, val_loss=0.8092, acc1=0.8660, acc2=0.9480
Epoch 121: train_loss=1.1613, val_loss=0.8000, acc1=0.8700, acc2=0.9535
Epoch 122: train_loss=1.1929, val_loss=0.8192, acc1=0.8629, acc2=0.9478
Epoch 123: train_loss=1.1741, val_loss=0.8048, acc1=0.8708, acc2=0.9508
Epoch 124: train_loss=1.1758, val_loss=0.8360, acc1=0.8553, acc2=0.9439
Epoch 125: train_loss=1.1875, val_loss=0.8066, acc1=0.8663, acc2=0.9496
Epoch 126: train_loss=1.1904, val_loss=0.7981, acc1=0.8703, acc2=0.9524
Epoch 127: train_loss=1.2163, val_loss=0.8035, acc1=0.8693, acc2=0.9495
Epoch 128: train_loss=1.2015, val_loss=0.8041, acc1=0.8681, acc2=0.9533
Epoch 129: train_loss=1.1811, val_loss=0.8066, acc1=0.8695, acc2=0.9514
Epoch 130: train_loss=1.1817, val_loss=0.8036, acc1=0.8675, acc2=0.9504
Epoch 131: train_loss=1.2050, val_loss=0.7974, acc1=0.8690, acc2=0.9537
Epoch 132: train_loss=1.1880, val_loss=0.7970, acc1=0.8722, acc2=0.9521
Epoch 133: train_loss=1.1736, val_loss=0.7957, acc1=0.8723, acc2=0.9526
Epoch 134: train_loss=1.1872, val_loss=0.8009, acc1=0.8734, acc2=0.9517
