Standard:
epoch,train_loss,val_loss,top1_acc,top2_acc
0,2.107977,2.342556,0.086500,0.178500
1,1.981449,2.292372,0.119000,0.209700
2,1.866455,2.230518,0.176400,0.305700
3,1.786821,2.164361,0.224200,0.394900
4,1.740668,2.095307,0.255900,0.458200
5,1.721957,2.023894,0.289900,0.504400
6,1.667891,1.952312,0.332600,0.540300
7,1.630540,1.879472,0.369300,0.577100
8,1.591637,1.807789,0.405000,0.604700
9,1.569343,1.739844,0.436000,0.629200
10,1.559062,1.675386,0.459500,0.654100
11,1.525357,1.612461,0.482800,0.677600
12,1.486070,1.552550,0.505000,0.695300
13,1.518167,1.498484,0.520600,0.712700
14,1.514403,1.446655,0.538500,0.724600
15,1.455766,1.395656,0.552300,0.736500
16,1.443258,1.348539,0.566500,0.748200
17,1.478549,1.305824,0.579900,0.757200
18,1.426628,1.264318,0.590600,0.766100
19,1.418233,1.221714,0.604900,0.778300
20,1.437969,1.179487,0.618600,0.789100
21,1.405951,1.139394,0.630800,0.799300
22,1.424669,1.101601,0.645900,0.809200
23,1.403134,1.063434,0.659400,0.817800
24,1.371836,1.024664,0.671800,0.829100
25,1.353822,0.987331,0.684300,0.837600
26,1.350380,0.950261,0.697300,0.846300
27,1.330898,0.916713,0.709000,0.852800
28,1.391776,0.886509,0.720200,0.857900
29,1.336259,0.857239,0.731200,0.865100
30,1.389545,0.829712,0.739700,0.873000
31,1.319334,0.803983,0.748000,0.879300
32,1.344152,0.780327,0.756700,0.884500
33,1.314700,0.757602,0.763300,0.890300
34,1.321674,0.736804,0.769200,0.895900
35,1.320129,0.716736,0.774300,0.899800
36,1.337031,0.697666,0.779600,0.904100
37,1.277094,0.679414,0.785500,0.908600
38,1.305424,0.662101,0.790500,0.911800
39,1.286110,0.646150,0.794900,0.916400
40,1.251271,0.630644,0.798700,0.918800
41,1.248496,0.616486,0.804400,0.922000
42,1.275046,0.603626,0.810300,0.924400
43,1.298038,0.590929,0.814400,0.926500
44,1.269778,0.579414,0.818800,0.928800
45,1.264723,0.569042,0.821900,0.930900
46,1.238875,0.558931,0.824300,0.932500
47,1.245707,0.549180,0.826600,0.935000
48,1.236921,0.540076,0.829900,0.936300
