Epoch 0: train_loss=2.6872, val_loss=2.6893, train_pixel_acc=0.0462, val_pixel_acc=0.0676, train_miou=0.0204, val_miou=0.0397, lr=8.000000e-05
Epoch 1: train_loss=2.6798, val_loss=2.6826, train_pixel_acc=0.1326, val_pixel_acc=0.1336, train_miou=0.0657, val_miou=0.0746, lr=1.200000e-04
Epoch 2: train_loss=2.6644, val_loss=2.6687, train_pixel_acc=0.3204, val_pixel_acc=0.3012, train_miou=0.1675, val_miou=0.1727, lr=1.600000e-04
Epoch 3: train_loss=2.6363, val_loss=2.6433, train_pixel_acc=0.3673, val_pixel_acc=0.3590, train_miou=0.2080, val_miou=0.2199, lr=2.000000e-04
Epoch 4: train_loss=2.5903, val_loss=2.6024, train_pixel_acc=0.4062, val_pixel_acc=0.3958, train_miou=0.2422, val_miou=0.2542, lr=2.000000e-04
Epoch 5: train_loss=2.5201, val_loss=2.5409, train_pixel_acc=0.4274, val_pixel_acc=0.4107, train_miou=0.2577, val_miou=0.2692, lr=1.999635e-04
Epoch 6: train_loss=2.4215, val_loss=2.4558, train_pixel_acc=0.4325, val_pixel_acc=0.4047, train_miou=0.2619, val_miou=0.2658, lr=1.998541e-04
Epoch 7: train_loss=2.3081, val_loss=2.3599, train_pixel_acc=0.4382, val_pixel_acc=0.4022, train_miou=0.2666, val_miou=0.2654, lr=1.996718e-04
Epoch 8: train_loss=2.1690, val_loss=2.2418, train_pixel_acc=0.4406, val_pixel_acc=0.4020, train_miou=0.2683, val_miou=0.2679, lr=1.994167e-04
Epoch 9: train_loss=2.0404, val_loss=2.1364, train_pixel_acc=0.4437, val_pixel_acc=0.4075, train_miou=0.2683, val_miou=0.2685, lr=1.990891e-04
Epoch 10: train_loss=1.9383, val_loss=2.0627, train_pixel_acc=0.4558, val_pixel_acc=0.4121, train_miou=0.2770, val_miou=0.2724, lr=1.986892e-04
Epoch 11: train_loss=1.8792, val_loss=2.0340, train_pixel_acc=0.4633, val_pixel_acc=0.4131, train_miou=0.2821, val_miou=0.2732, lr=1.982173e-04
Epoch 12: train_loss=1.8617, val_loss=2.0520, train_pixel_acc=0.4713, val_pixel_acc=0.4155, train_miou=0.2872, val_miou=0.2742, lr=1.976737e-04
Epoch 13: train_loss=1.8939, val_loss=2.1190, train_pixel_acc=0.4801, val_pixel_acc=0.4195, train_miou=0.2926, val_miou=0.2772, lr=1.970589e-04
Epoch 14: train_loss=1.9642, val_loss=2.2238, train_pixel_acc=0.4861, val_pixel_acc=0.4249, train_miou=0.2974, val_miou=0.2835, lr=1.963732e-04
Epoch 15: train_loss=2.0153, val_loss=2.3020, train_pixel_acc=0.4962, val_pixel_acc=0.4350, train_miou=0.3052, val_miou=0.2888, lr=1.956172e-04
Epoch 16: train_loss=2.0583, val_loss=2.3769, train_pixel_acc=0.5065, val_pixel_acc=0.4434, train_miou=0.3098, val_miou=0.2934, lr=1.947915e-04
Epoch 17: train_loss=2.0562, val_loss=2.4038, train_pixel_acc=0.5219, val_pixel_acc=0.4548, train_miou=0.3219, val_miou=0.2996, lr=1.938966e-04
Epoch 18: train_loss=2.0252, val_loss=2.4006, train_pixel_acc=0.5417, val_pixel_acc=0.4690, train_miou=0.3368, val_miou=0.3089, lr=1.929332e-04
Epoch 19: train_loss=1.9824, val_loss=2.3867, train_pixel_acc=0.5636, val_pixel_acc=0.4887, train_miou=0.3553, val_miou=0.3232, lr=1.919020e-04
Epoch 20: train_loss=1.9104, val_loss=2.3445, train_pixel_acc=0.5861, val_pixel_acc=0.5105, train_miou=0.3749, val_miou=0.3354, lr=1.908038e-04
Epoch 21: train_loss=1.8201, val_loss=2.2717, train_pixel_acc=0.6100, val_pixel_acc=0.5297, train_miou=0.3943, val_miou=0.3562, lr=1.896393e-04
Epoch 22: train_loss=1.7337, val_loss=2.1965, train_pixel_acc=0.6327, val_pixel_acc=0.5481, train_miou=0.4172, val_miou=0.3735, lr=1.884094e-04
Epoch 23: train_loss=1.6369, val_loss=2.1088, train_pixel_acc=0.6551, val_pixel_acc=0.5692, train_miou=0.4418, val_miou=0.3948, lr=1.871151e-04
Epoch 24: train_loss=1.5494, val_loss=2.0249, train_pixel_acc=0.6779, val_pixel_acc=0.5841, train_miou=0.4686, val_miou=0.4107, lr=1.857573e-04
Epoch 25: train_loss=1.4567, val_loss=1.9296, train_pixel_acc=0.6996, val_pixel_acc=0.6007, train_miou=0.4940, val_miou=0.4295, lr=1.843369e-04
Epoch 26: train_loss=1.3695, val_loss=1.8463, train_pixel_acc=0.7162, val_pixel_acc=0.6176, train_miou=0.5172, val_miou=0.4447, lr=1.828551e-04
Epoch 27: train_loss=1.2801, val_loss=1.7648, train_pixel_acc=0.7305, val_pixel_acc=0.6298, train_miou=0.5383, val_miou=0.4563, lr=1.813128e-04
Epoch 28: train_loss=1.1968, val_loss=1.6907, train_pixel_acc=0.7443, val_pixel_acc=0.6422, train_miou=0.5610, val_miou=0.4654, lr=1.797113e-04
Epoch 29: train_loss=1.1268, val_loss=1.6278, train_pixel_acc=0.7579, val_pixel_acc=0.6560, train_miou=0.5772, val_miou=0.4775, lr=1.780516e-04
Epoch 30: train_loss=1.0472, val_loss=1.5572, train_pixel_acc=0.7741, val_pixel_acc=0.6747, train_miou=0.6020, val_miou=0.4900, lr=1.763351e-04
Epoch 31: train_loss=0.9715, val_loss=1.5001, train_pixel_acc=0.7874, val_pixel_acc=0.6847, train_miou=0.6171, val_miou=0.4986, lr=1.745630e-04
Epoch 32: train_loss=0.8946, val_loss=1.4481, train_pixel_acc=0.8007, val_pixel_acc=0.6970, train_miou=0.6303, val_miou=0.5117, lr=1.727366e-04
Epoch 33: train_loss=0.8174, val_loss=1.3926, train_pixel_acc=0.8145, val_pixel_acc=0.7080, train_miou=0.6458, val_miou=0.5209, lr=1.708571e-04
Epoch 34: train_loss=0.7377, val_loss=1.3347, train_pixel_acc=0.8281, val_pixel_acc=0.7174, train_miou=0.6630, val_miou=0.5294, lr=1.689261e-04
Epoch 35: train_loss=0.6674, val_loss=1.2923, train_pixel_acc=0.8409, val_pixel_acc=0.7276, train_miou=0.6772, val_miou=0.5416, lr=1.669449e-04
Epoch 36: train_loss=0.5974, val_loss=1.2484, train_pixel_acc=0.8546, val_pixel_acc=0.7384, train_miou=0.6949, val_miou=0.5504, lr=1.649149e-04
Epoch 37: train_loss=0.5386, val_loss=1.2227, train_pixel_acc=0.8674, val_pixel_acc=0.7472, train_miou=0.7150, val_miou=0.5580, lr=1.628377e-04
Epoch 38: train_loss=0.4887, val_loss=1.2031, train_pixel_acc=0.8770, val_pixel_acc=0.7538, train_miou=0.7303, val_miou=0.5659, lr=1.607148e-04
Epoch 39: train_loss=0.4486, val_loss=1.1965, train_pixel_acc=0.8855, val_pixel_acc=0.7600, train_miou=0.7415, val_miou=0.5764, lr=1.585478e-04
Epoch 40: train_loss=0.4084, val_loss=1.1865, train_pixel_acc=0.8953, val_pixel_acc=0.7654, train_miou=0.7534, val_miou=0.5841, lr=1.563381e-04
Epoch 41: train_loss=0.3713, val_loss=1.1754, train_pixel_acc=0.9032, val_pixel_acc=0.7695, train_miou=0.7635, val_miou=0.5880, lr=1.540875e-04
Epoch 42: train_loss=0.3398, val_loss=1.1775, train_pixel_acc=0.9097, val_pixel_acc=0.7732, train_miou=0.7719, val_miou=0.5935, lr=1.517976e-04
Epoch 43: train_loss=0.3107, val_loss=1.1760, train_pixel_acc=0.9169, val_pixel_acc=0.7780, train_miou=0.7834, val_miou=0.5973, lr=1.494701e-04
Epoch 44: train_loss=0.2851, val_loss=1.1822, train_pixel_acc=0.9230, val_pixel_acc=0.7826, train_miou=0.7946, val_miou=0.6010, lr=1.471066e-04
Epoch 45: train_loss=0.2627, val_loss=1.1911, train_pixel_acc=0.9289, val_pixel_acc=0.7872, train_miou=0.8042, val_miou=0.6102, lr=1.447090e-04
Epoch 46: train_loss=0.2435, val_loss=1.1974, train_pixel_acc=0.9340, val_pixel_acc=0.7880, train_miou=0.8135, val_miou=0.6088, lr=1.422790e-04
Epoch 47: train_loss=0.2271, val_loss=1.2163, train_pixel_acc=0.9390, val_pixel_acc=0.7888, train_miou=0.8223, val_miou=0.6101, lr=1.398183e-04
Epoch 48: train_loss=0.2137, val_loss=1.2374, train_pixel_acc=0.9427, val_pixel_acc=0.7887, train_miou=0.8323, val_miou=0.6131, lr=1.373287e-04
Epoch 49: train_loss=0.2026, val_loss=1.2514, train_pixel_acc=0.9455, val_pixel_acc=0.7912, train_miou=0.8372, val_miou=0.6162, lr=1.348122e-04
Epoch 50: train_loss=0.1933, val_loss=1.2705, train_pixel_acc=0.9473, val_pixel_acc=0.7930, train_miou=0.8406, val_miou=0.6210, lr=1.322705e-04
Epoch 51: train_loss=0.1829, val_loss=1.2879, train_pixel_acc=0.9498, val_pixel_acc=0.7929, train_miou=0.8473, val_miou=0.6246, lr=1.297055e-04
Epoch 52: train_loss=0.1732, val_loss=1.3002, train_pixel_acc=0.9521, val_pixel_acc=0.7946, train_miou=0.8552, val_miou=0.6274, lr=1.271191e-04
Epoch 53: train_loss=0.1646, val_loss=1.3314, train_pixel_acc=0.9543, val_pixel_acc=0.7936, train_miou=0.8613, val_miou=0.6270, lr=1.245131e-04
Epoch 54: train_loss=0.1562, val_loss=1.3541, train_pixel_acc=0.9561, val_pixel_acc=0.7946, train_miou=0.8649, val_miou=0.6286, lr=1.218896e-04
Epoch 55: train_loss=0.1486, val_loss=1.3768, train_pixel_acc=0.9578, val_pixel_acc=0.7961, train_miou=0.8696, val_miou=0.6326, lr=1.192503e-04
Epoch 56: train_loss=0.1417, val_loss=1.4009, train_pixel_acc=0.9600, val_pixel_acc=0.7940, train_miou=0.8743, val_miou=0.6302, lr=1.165973e-04
Epoch 57: train_loss=0.1358, val_loss=1.4251, train_pixel_acc=0.9624, val_pixel_acc=0.7948, train_miou=0.8775, val_miou=0.6319, lr=1.139325e-04
Epoch 58: train_loss=0.1293, val_loss=1.4450, train_pixel_acc=0.9650, val_pixel_acc=0.7954, train_miou=0.8827, val_miou=0.6329, lr=1.112578e-04
Epoch 59: train_loss=0.1237, val_loss=1.4696, train_pixel_acc=0.9670, val_pixel_acc=0.7969, train_miou=0.8886, val_miou=0.6316, lr=1.085753e-04
Epoch 60: train_loss=0.1184, val_loss=1.4892, train_pixel_acc=0.9680, val_pixel_acc=0.7975, train_miou=0.8932, val_miou=0.6347, lr=1.058868e-04
Epoch 61: train_loss=0.1131, val_loss=1.5118, train_pixel_acc=0.9697, val_pixel_acc=0.7991, train_miou=0.8979, val_miou=0.6350, lr=1.031944e-04
Epoch 62: train_loss=0.1078, val_loss=1.5270, train_pixel_acc=0.9709, val_pixel_acc=0.7991, train_miou=0.9017, val_miou=0.6346, lr=1.005000e-04
Epoch 63: train_loss=0.1035, val_loss=1.5465, train_pixel_acc=0.9717, val_pixel_acc=0.7991, train_miou=0.9057, val_miou=0.6345, lr=9.780560e-05
Epoch 64: train_loss=0.0994, val_loss=1.5726, train_pixel_acc=0.9725, val_pixel_acc=0.8002, train_miou=0.9095, val_miou=0.6347, lr=9.511318e-05
Epoch 65: train_loss=0.0942, val_loss=1.5989, train_pixel_acc=0.9736, val_pixel_acc=0.7999, train_miou=0.9112, val_miou=0.6351, lr=9.242471e-05
Epoch 66: train_loss=0.0909, val_loss=1.6186, train_pixel_acc=0.9745, val_pixel_acc=0.8002, train_miou=0.9127, val_miou=0.6358, lr=8.974216e-05
Epoch 67: train_loss=0.0880, val_loss=1.6333, train_pixel_acc=0.9754, val_pixel_acc=0.8003, train_miou=0.9154, val_miou=0.6359, lr=8.706750e-05
Epoch 68: train_loss=0.0851, val_loss=1.6473, train_pixel_acc=0.9760, val_pixel_acc=0.8003, train_miou=0.9173, val_miou=0.6327, lr=8.440269e-05
Epoch 69: train_loss=0.0826, val_loss=1.6726, train_pixel_acc=0.9764, val_pixel_acc=0.8005, train_miou=0.9205, val_miou=0.6319, lr=8.174969e-05
Epoch 70: train_loss=0.0801, val_loss=1.6939, train_pixel_acc=0.9769, val_pixel_acc=0.8007, train_miou=0.9222, val_miou=0.6300, lr=7.911044e-05
Epoch 71: train_loss=0.0775, val_loss=1.7131, train_pixel_acc=0.9776, val_pixel_acc=0.8013, train_miou=0.9249, val_miou=0.6318, lr=7.648688e-05
Epoch 72: train_loss=0.0748, val_loss=1.7208, train_pixel_acc=0.9785, val_pixel_acc=0.8011, train_miou=0.9274, val_miou=0.6315, lr=7.388093e-05
Epoch 73: train_loss=0.0721, val_loss=1.7362, train_pixel_acc=0.9790, val_pixel_acc=0.8025, train_miou=0.9284, val_miou=0.6290, lr=7.129450e-05
Epoch 74: train_loss=0.0695, val_loss=1.7545, train_pixel_acc=0.9797, val_pixel_acc=0.8025, train_miou=0.9303, val_miou=0.6274, lr=6.872950e-05
Epoch 75: train_loss=0.0675, val_loss=1.7635, train_pixel_acc=0.9806, val_pixel_acc=0.8046, train_miou=0.9306, val_miou=0.6282, lr=6.618779e-05
Epoch 76: train_loss=0.0657, val_loss=1.7876, train_pixel_acc=0.9811, val_pixel_acc=0.8051, train_miou=0.9318, val_miou=0.6297, lr=6.367125e-05
Epoch 77: train_loss=0.0639, val_loss=1.8212, train_pixel_acc=0.9819, val_pixel_acc=0.8048, train_miou=0.9345, val_miou=0.6319, lr=6.118173e-05
Epoch 78: train_loss=0.0621, val_loss=1.8469, train_pixel_acc=0.9826, val_pixel_acc=0.8052, train_miou=0.9367, val_miou=0.6317, lr=5.872103e-05
Epoch 79: train_loss=0.0603, val_loss=1.8725, train_pixel_acc=0.9829, val_pixel_acc=0.8049, train_miou=0.9375, val_miou=0.6294, lr=5.629099e-05
