Epoch 1: train_loss=2.6789, val_loss=2.6817, train_pixel_acc=0.1237, val_pixel_acc=0.1447, train_miou=0.0603, val_miou=0.0768, lr=1.200000e-04
Epoch 2: train_loss=2.6618, val_loss=2.6661, train_pixel_acc=0.3048, val_pixel_acc=0.2916, train_miou=0.1596, val_miou=0.1673, lr=1.600000e-04
Epoch 3: train_loss=2.6313, val_loss=2.6378, train_pixel_acc=0.3849, val_pixel_acc=0.3802, train_miou=0.2170, val_miou=0.2278, lr=2.000000e-04
Epoch 4: train_loss=2.5829, val_loss=2.5920, train_pixel_acc=0.4414, val_pixel_acc=0.4252, train_miou=0.2542, val_miou=0.2738, lr=2.000000e-04
Epoch 5: train_loss=2.5201, val_loss=2.5302, train_pixel_acc=0.4626, val_pixel_acc=0.4217, train_miou=0.2745, val_miou=0.2759, lr=1.999635e-04
Epoch 6: train_loss=2.4332, val_loss=2.4448, train_pixel_acc=0.4657, val_pixel_acc=0.4296, train_miou=0.2838, val_miou=0.2786, lr=1.998541e-04
Epoch 7: train_loss=2.3150, val_loss=2.3319, train_pixel_acc=0.4767, val_pixel_acc=0.4332, train_miou=0.2875, val_miou=0.2783, lr=1.996718e-04
Epoch 8: train_loss=2.1586, val_loss=2.1880, train_pixel_acc=0.4777, val_pixel_acc=0.4313, train_miou=0.2876, val_miou=0.2785, lr=1.994167e-04
Epoch 9: train_loss=2.0030, val_loss=2.0491, train_pixel_acc=0.4781, val_pixel_acc=0.4259, train_miou=0.2898, val_miou=0.2774, lr=1.990891e-04
Epoch 10: train_loss=1.8719, val_loss=1.9414, train_pixel_acc=0.4847, val_pixel_acc=0.4316, train_miou=0.2937, val_miou=0.2808, lr=1.986892e-04
Epoch 11: train_loss=1.7769, val_loss=1.8706, train_pixel_acc=0.4928, val_pixel_acc=0.4444, train_miou=0.2976, val_miou=0.2900, lr=1.982173e-04
Epoch 12: train_loss=1.7125, val_loss=1.8322, train_pixel_acc=0.5047, val_pixel_acc=0.4544, train_miou=0.3047, val_miou=0.2990, lr=1.976737e-04
